I am,Do you,Why,Interseed,After,Early,Late,Method,Challenges
Farmer,Yes - after corn,Soil/water,Annual ryegrass,Annual ryegrass,Disagree,Agree,Drone and Robots,
Farmer,Yes - E to V6 and After,"Soil/water, Fall and Spring grazing/harvest","Annual ryegrass, Red clover, Crimson clover, and Kale",Cereal rye,Agree,Agree,Clearance,"large scale planting - can be a slow process, seeding rate"
Agency/University,Yes - E to V6 and After,Soil/water,"Annual ryegrass, Red clover, Crimson clover, Radish, Kale, Rapeseed, and Turnips","Cereal rye, Winter triticale, Winter wheat, and Spring barley",Agree,Disagree,Drone,herbicides
Farmer,Yes - after corn,Soil/water,Cereal rye,Cereal rye,Agree,Agree,Clearance,
Farmer,Yes - after corn,Soil/water,Cereal rye,Cereal rye,Agree,Agree,Clearance,
Farmer,Yes - after corn,Soil/water,Cereal rye,Cereal rye,Agree,Agree,Drone,
Agribusiness,Yes - E to V6 and After,Soil/water,Cereal rye and Red clover,"Cereal rye, Winter triticale, and Winter wheat",Agree,Agree,"Drone, Robots, and Clearance",timing
Farmer,Yes - after corn,"Soil/water, Fall and Spring grazing/harvest",Cereal rye and Triticale,Cereal rye and Triticale,Agree,Agree,,
Farmer,Yes - after corn,Spring grazing/harvest,Cereal rye and Triticale,Cereal rye and Triticale,Agree,Agree,,
Farmer,Yes - E to V6 and After,Soil/water,"Cereal rye, Annual Ryegrass, and Red Clover",Cereal rye,Agree,Agree,"Drone, Robots, and Clearance","trying different row spacing such as 40"" rows, breeding more shade tolerant species"
Farmer,Yes - after corn,Soil/water and Spring grazing/harvest,"Cereal rye, Annual ryegrass, Red clover, Crimson clover, Kale, and Vetch","Cereal rye, Winter triticale, and Winter wheat",Agree,Agree,Drone,which species work best in our climate
Farmer,Yes - after corn,Soil/water and Spring grazing/harvest,"Cereal rye, Annual ryegrass, Red clover, Crimson clover, Kale, Vetch, and Turnips","Cereal rye, Winter triticale, and Winter wheat",Agree,Agree,Drone,
Farmer,Yes - after corn,Spring grazing/harvest,"Cereal rye, Annual ryegrass, Red clover, Crimson clover, Kale, Vetch, and Turnips","Cereal rye, Winter triticale, and Winter wheat",Agree,Agree,Drone,
Farmer,Yes - E to V6 and After,Soil/water,"Cereal rye, Annual ryegrass, Red clover, Vetch, Radish, and Turnips",no corn silage,Agree,Agree,"alfalfa as permanent cover, set back with herbicide but not killing (recovers) after corn planting",problem with waterhemp and can't kill because of cover crops
Farmer,Yes - after corn,Soil/water,"Cereal rye, Oats, Annual ryegrass, Red clover, Crimson clover, Kale, and Turnips","Cereal rye, Oats, Radish, and Turnips",Agree,Agree,"Drone, Robots, and Clearance","stand establishment methods, seed to soil contact being key, herbicide program problems, seed germination dormancy problems with canopied corn"
Agribusiness,Yes - E to V6 and After,Soil/water,"Cereal rye, Oats, Vetch, and Turnips","Cereal rye, Winter wheat, Oats, and Turnips",Agree,Agree,"Drone, Robots, and Clearance","time left in the season to grow, being dry enough in spring to terminate cover early enough"
Farmer,"Yes - E to V6, Tassel+, After","Soil/water, Fall and Spring grazing/harvest","Cereal rye, Winter triticale, Winter wheat, Oats, Crimson clover, Vetch, and Turnips ","Cereal rye, Winter triticale, Winter wheat, Oats, Annual ryegrass, and Turnips",Agree,Agree,Drone,
Farmer,Yes - E to V6 and After,Soil/water,"Cereal rye, Winter triticale, Winter wheat, Oats, Spring Barley, Annual ryegrass, Red clover, Crimson clover, Vetch, Kale and Turnips","Winter triticale, Winter wheat, and Annual ryegrass",Agree,Agree,,
Farmer,"Yes - E to V6, Tassel+, After","Soil/water, Fall and Spring grazing/harvest","Cereal rye, Winter triticale, Winter wheat, Oats, Spring Barley, Red clover, Crimson clover, Berseem clover, Vetch, Radish, Kale, Rapeseed, and Turnips","Cereal rye, Winter triticale, Winter wheat, Annual ryegrass, Red clover, Crimson clover, Berseem clover, and Vetch",Agree,Agree,"Drone, Robots, and Clearance",interseeding during the season
